Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Quambalaria_cyanescens,Mock2,Qmin15,kraken2,GSD,0.970861351,0.965605096,0.976175145
Rhodotorula_mucilaginosa,Mock2,Qmin15,kraken2,GSD,0.993290735,0.99265645,0.993925831
Scedosporium_aurantiacum,Mock2,Qmin15,kraken2,GSD,0.970919325,0.949541284,0.99328215
Scedosporium_boydii,Mock2,Qmin15,kraken2,GSD,0.98164464,0.970951344,0.992576095
Sclerotinia_sclerotiorum,Mock2,Qmin15,kraken2,GSD,0.985578904,0.973677069,0.997775306
Sporisorium_scitamineum,Mock2,Qmin15,kraken2,GSD,0.938366718,0.915789474,0.962085308
Trichomonascus_ciferrii,Mock2,Qmin15,kraken2,GSD,0.981775882,0.968630451,0.995283019
Trichosporon_asahii,Mock2,Qmin15,kraken2,GSD,0.983502062,0.983870968,0.983133433
Tuber_brumale,Mock2,Qmin15,kraken2,GSD,0.991444635,0.988785958,0.994117647
Wickerhamomyces_anomalus,Mock2,Qmin15,kraken2,GSD,0.98630935,0.981449275,0.991217799
Yamadazyma_mexicana,Mock2,Qmin15,kraken2,GSD,0.990952381,0.994741874,0.987191651
Yamadazyma_scolyti,Mock2,Qmin15,kraken2,GSD,0.996640538,0.99719888,0.99608282
Yarrowia_lipolytica,Mock2,Qmin15,kraken2,GSD,0.945444773,0.994347089,0.901127049
Zymoseptoria_tritici,Mock2,Qmin15,kraken2,GSD,0.982199909,0.987155963,0.97729337
Aspergillus_flavus,Mock2,Qmin15,aodp,GSD,0.792893876,0.777981651,0.808388942
Aspergillus_fumigatus,Mock2,Qmin15,aodp,GSD,0.701481296,0.541472868,0.99572345
Asteroma_sp._CCL060,Mock2,Qmin15,aodp,GSD,0.995630943,0.992824193,0.998453608
Austropuccinia_psidii,Mock2,Qmin15,aodp,GSD,0.986162853,0.978869519,0.993565684
Blastobotrys_adeninivorans,Mock2,Qmin15,aodp,GSD,0.985407066,0.986164489,0.984650806
Blastobotrys_proliferans,Mock2,Qmin15,aodp,GSD,0.993109784,0.991743119,0.994480221
Botrytis_cinerea,Mock2,Qmin15,aodp,GSD,0.978922717,0.991803279,0.966372425
Botrytis_fabae,Mock2,Qmin15,aodp,GSD,0.960793576,0.933027523,0.990262902
Candida_boleticola,Mock2,Qmin15,aodp,GSD,0.986678916,0.985321101,0.988040478
Candida_caryicola,Mock2,Qmin15,aodp,GSD,0.982972849,0.979816514,0.986149584
Candida_catenulata,Mock2,Qmin15,aodp,GSD,0.983764809,0.987665198,0.979895105
Candida_dubliniensis,Mock2,Qmin15,aodp,GSD,0.970414201,0.977981651,0.962962963
Candida_glabrata,Mock2,Qmin15,aodp,GSD,0.863327149,0.767314034,0.986804901
Candida_metapsilosis,Mock2,Qmin15,aodp,GSD,0.973534504,0.992435703,0.955339806
Candida_parapsilosis,Mock2,Qmin15,aodp,GSD,0.987148977,0.977686989,0.996795899
Candida_tropicalis,Mock2,Qmin15,aodp,GSD,0.990522372,0.985094257,0.996010638
Candida_zeylanoides,Mock2,Qmin15,aodp,GSD,0.988337221,0.992637216,0.98407432
Cortinarius_globuliformis,Mock2,Qmin15,aodp,GSD,0.767061478,0.623853211,0.995607613
Cryptococcus_gattii_VGI,Mock2,Qmin15,aodp,GSD,0.949656325,0.915800788,0.986111111
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,aodp,GSD,0.981125023,0.968277388,0.994318182
Cryptovalsa_ampelina,Mock2,Qmin15,aodp,GSD,0.995344025,0.993288591,0.997407983
Diaporthe_sp._CCL067,Mock2,Qmin15,aodp,GSD,0.995462795,0.995161778,0.995763994
Diplodia_seriata,Mock2,Qmin15,aodp,GSD,0.993049987,0.98724422,0.998924442
Entoleuca_sp._,Mock2,Qmin15,aodp,GSD,0.989666715,0.980392157,0.999118425
Erysiphe_necator,Mock2,Qmin15,aodp,GSD,0.971996092,0.947619048,0.997660428
Eutypa_lata,Mock2,Qmin15,aodp,GSD,0.987120897,0.981818182,0.992481203
Fusarium_proliferatum,Mock2,Qmin15,aodp,GSD,0.986097513,0.981293843,0.990948445
Fusarium_pseudograminearum,Mock2,Qmin15,aodp,GSD,0.979926613,0.962680237,0.997802198
Geotrichum_candidum,Mock2,Qmin15,aodp,GSD,0.994844298,0.997106242,0.992592593
Kluyveromyces_lactis,Mock2,Qmin15,aodp,GSD,0.985971944,0.985125858,0.986819484
Kluyveromyces_marxianus,Mock2,Qmin15,aodp,GSD,0.984615385,0.992582603,0.97677505
Kodamaea_ohmeri,Mock2,Qmin15,aodp,GSD,0.982783357,0.977872948,0.987743331
Leptosphaeria_maculans,Mock2,Qmin15,aodp,GSD,0.959915052,0.923863056,0.998895028
Penicillium_chrysogenum,Mock2,Qmin15,aodp,GSD,0.945970979,0.964128383,0.928484848
Pichia_kudriavzevii,Mock2,Qmin15,aodp,GSD,0.938847338,0.978899083,0.90194421
Pichia_membranifaciens,Mock2,Qmin15,aodp,GSD,0.864395276,0.761904762,0.998745295
Puccinia_graminis_,Mock2,Qmin15,aodp,GSD,0.985014985,0.982071713,0.987975952
Puccinia_striiformis_var_tritici,Mock2,Qmin15,aodp,GSD,0.979454927,0.969294606,0.989830508
Puccinia_triticina,Mock2,Qmin15,aodp,GSD,0.977878985,0.960383387,0.996023857
Pyrenophora_tritici-repentis,Mock2,Qmin15,aodp,GSD,0.909605853,0.855304039,0.971270161
Quambalaria_cyanescens,Mock2,Qmin15,aodp,GSD,0.979644588,0.965605096,0.994098361
Rhodotorula_mucilaginosa,Mock2,Qmin15,aodp,GSD,0.992969,0.99201788,0.993921945
Scedosporium_aurantiacum,Mock2,Qmin15,aodp,GSD,0.970873786,0.963302752,0.978564772
Scedosporium_boydii,Mock2,Qmin15,aodp,GSD,0.982714233,0.970225127,0.995529061
Sclerotinia_sclerotiorum,Mock2,Qmin15,aodp,GSD,0.985300179,0.973134328,0.997774068
Sporisorium_scitamineum,Mock2,Qmin15,aodp,GSD,0.93071686,0.873684211,0.99571551
Trichomonascus_ciferrii,Mock2,Qmin15,aodp,GSD,0.982958947,0.970925784,0.995294118
Trichosporon_asahii,Mock2,Qmin15,aodp,GSD,0.990371909,0.983870968,0.996959331
Tuber_brumale,Mock2,Qmin15,aodp,GSD,0.991198044,0.988298391,0.994114762
Wickerhamomyces_anomalus,Mock2,Qmin15,aodp,GSD,0.986899563,0.982608696,0.99122807
Yamadazyma_mexicana,Mock2,Qmin15,aodp,GSD,0.993317422,0.994741874,0.991897045
Yamadazyma_scolyti,Mock2,Qmin15,aodp,GSD,0.998039765,0.998319328,0.997760358
Yarrowia_lipolytica,Mock2,Qmin15,aodp,GSD,0.94850364,0.994347089,0.906701031
Zymoseptoria_tritici,Mock2,Qmin15,aodp,GSD,0.991248273,0.987155963,0.995374653
Aspergillus_flavus,Mock2,Qmin15,dnabarcoder,GSD,0.654220148,0.771559633,0.567859554
Aspergillus_fumigatus,Mock2,Qmin15,dnabarcoder,GSD,0.703620474,0.546124031,0.98877193
Asteroma_sp._CCL060,Mock2,Qmin15,dnabarcoder,GSD,0.986754967,0.992824193,0.980759494
Austropuccinia_psidii,Mock2,Qmin15,dnabarcoder,GSD,0.986978475,0.980982567,0.993048128
Blastobotrys_adeninivorans,Mock2,Qmin15,dnabarcoder,GSD,0.987361164,0.990776326,0.983969466
Blastobotrys_proliferans,Mock2,Qmin15,dnabarcoder,GSD,0.966905188,0.991743119,0.943280977
Botrytis_cinerea,Mock2,Qmin15,dnabarcoder,GSD,0.719562244,0.680759275,0.763056093
Botrytis_fabae,Mock2,Qmin15,dnabarcoder,GSD,0.500623701,0.552293578,0.457794677
Candida_boleticola,Mock2,Qmin15,dnabarcoder,GSD,0.972559604,0.991743119,0.954104148
Candida_caryicola,Mock2,Qmin15,dnabarcoder,GSD,0.934849147,0.980733945,0.893065998
Candida_catenulata,Mock2,Qmin15,dnabarcoder,GSD,0.93729097,0.987665198,0.891805887
Candida_dubliniensis,Mock2,Qmin15,dnabarcoder,GSD,0.978169995,0.966055046,0.990592662
Candida_glabrata,Mock2,Qmin15,dnabarcoder,GSD,0.8723099,0.779772811,0.989767442
Candida_metapsilosis,Mock2,Qmin15,dnabarcoder,GSD,0.980481622,0.975289965,0.985728848
Candida_parapsilosis,Mock2,Qmin15,dnabarcoder,GSD,0.989186648,0.991829038,0.986558299
Candida_tropicalis,Mock2,Qmin15,dnabarcoder,GSD,0.988379741,0.988163086,0.988596491
Candida_zeylanoides,Mock2,Qmin15,dnabarcoder,GSD,0.97974095,0.987282463,0.972313777
Cortinarius_globuliformis,Mock2,Qmin15,dnabarcoder,GSD,0.9238921,0.879816514,0.972616633
Cryptococcus_gattii_VGI,Mock2,Qmin15,dnabarcoder,GSD,0.948434277,0.906126836,0.994885917
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,dnabarcoder,GSD,0.980399408,0.977867945,0.982944012
Cryptovalsa_ampelina,Mock2,Qmin15,dnabarcoder,GSD,0.982635342,0.993288591,0.972208186
Diaporthe_sp._CCL067,Mock2,Qmin15,dnabarcoder,GSD,0.995614698,0.995464167,0.995765275
Diplodia_seriata,Mock2,Qmin15,dnabarcoder,GSD,0.992521368,0.987509965,0.997583893
Entoleuca_sp._,Mock2,Qmin15,dnabarcoder,GSD,0.989666715,0.980392157,0.999118425
Erysiphe_necator,Mock2,Qmin15,dnabarcoder,GSD,0.9709085,0.948253968,0.994671995
Eutypa_lata,Mock2,Qmin15,dnabarcoder,GSD,0.987120897,0.981818182,0.992481203
Fusarium_proliferatum,Mock2,Qmin15,dnabarcoder,GSD,0.97995283,0.971551052,0.98850119
Fusarium_pseudograminearum,Mock2,Qmin15,dnabarcoder,GSD,0.971162002,0.971162002,0.971162002
Geotrichum_candidum,Mock2,Qmin15,dnabarcoder,GSD,0.994846423,0.997519636,0.9921875
Kluyveromyces_lactis,Mock2,Qmin15,dnabarcoder,GSD,0.980557904,0.995423341,0.966129928
Kluyveromyces_marxianus,Mock2,Qmin15,dnabarcoder,GSD,0.986986987,0.997302765,0.976882431
Kodamaea_ohmeri,Mock2,Qmin15,dnabarcoder,GSD,0.977524081,0.977872948,0.977175464
Leptosphaeria_maculans,Mock2,Qmin15,dnabarcoder,GSD,0.993057341,0.986714359,0.999482402
Penicillium_chrysogenum,Mock2,Qmin15,dnabarcoder,GSD,0.913263785,0.964128383,0.867497169
Pichia_kudriavzevii,Mock2,Qmin15,dnabarcoder,GSD,0.942579505,0.978899083,0.908858603
Pichia_membranifaciens,Mock2,Qmin15,dnabarcoder,GSD,0.867271005,0.766929888,0.997820672
Puccinia_graminis_,Mock2,Qmin15,dnabarcoder,GSD,0.984433554,0.971826978,0.997371495
Puccinia_striiformis_var_tritici,Mock2,Qmin15,dnabarcoder,GSD,0.981481481,0.967634855,0.995730145
Puccinia_triticina,Mock2,Qmin15,dnabarcoder,GSD,0.972529207,0.984025559,0.961298377
Pyrenophora_tritici-repentis,Mock2,Qmin15,dnabarcoder,GSD,0.907464092,0.855304039,0.966399198
Quambalaria_cyanescens,Mock2,Qmin15,dnabarcoder,GSD,0.972106444,0.965605096,0.978695933
Rhodotorula_mucilaginosa,Mock2,Qmin15,dnabarcoder,GSD,0.993290735,0.99265645,0.993925831
Scedosporium_aurantiacum,Mock2,Qmin15,dnabarcoder,GSD,0.971374941,0.949541284,0.994236311
Scedosporium_boydii,Mock2,Qmin15,dnabarcoder,GSD,0.984011628,0.983297023,0.984727273
Sclerotinia_sclerotiorum,Mock2,Qmin15,dnabarcoder,GSD,0.980145146,0.971234735,0.989220564
Sporisorium_scitamineum,Mock2,Qmin15,dnabarcoder,GSD,0.93977813,0.891729323,0.993299832
Trichomonascus_ciferrii,Mock2,Qmin15,dnabarcoder,GSD,0.982958947,0.970925784,0.995294118
Trichosporon_asahii,Mock2,Qmin15,dnabarcoder,GSD,0.982029203,0.983870968,0.98019432
