Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Candida_parapsilosis,Mock2,Qmin17,vtd,simNCBI,0.443408594,0.478315525,0.413250068
Candida_tropicalis,Mock2,Qmin17,vtd,simNCBI,0.275016835,0.447610697,0.19848367
Candida_zeylanoides,Mock2,Qmin17,vtd,simNCBI,0.588235294,0.502008032,0.710227273
Cryptococcus_gattii_VGI,Mock2,Qmin17,vtd,simNCBI,0.252262443,0.159799355,0.598657718
Cryptococcus_neoformans_VNIII,Mock2,Qmin17,vtd,simNCBI,0.305175781,0.230542235,0.451263538
Diplodia_seriata,Mock2,Qmin17,vtd,simNCBI,0.514413658,0.488440074,0.543304759
Fusarium_pseudograminearum,Mock2,Qmin17,vtd,simNCBI,0.477659916,0.31509754,0.986719788
Kluyveromyces_lactis,Mock2,Qmin17,vtd,simNCBI,0.033744856,0.046910755,0.026349614
Kluyveromyces_marxianus,Mock2,Qmin17,vtd,simNCBI,0.008010681,0.004045853,0.4
Kodamaea_ohmeri,Mock2,Qmin17,vtd,simNCBI,0.596377148,0.458244111,0.853723404
Leptosphaeria_maculans,Mock2,Qmin17,vtd,simNCBI,0.479144943,0.469596321,0.489089941
Penicillium_chrysogenum,Mock2,Qmin17,vtd,simNCBI,0.558586247,0.457520453,0.716962525
Pichia_kudriavzevii,Mock2,Qmin17,vtd,simNCBI,0.586706647,0.53853211,0.644346872
Pichia_membranifaciens,Mock2,Qmin17,vtd,simNCBI,0.491239669,0.355587461,0.794227686
Quambalaria_cyanescens,Mock2,Qmin17,vtd,simNCBI,0.642675699,0.48343949,0.958333333
Rhodotorula_mucilaginosa,Mock2,Qmin17,vtd,simNCBI,0.504822082,0.48467433,0.526717557
Scedosporium_aurantiacum,Mock2,Qmin17,vtd,simNCBI,0.593071051,0.463302752,0.823817292
Trichomonascus_ciferrii,Mock2,Qmin17,vtd,simNCBI,0.601694915,0.434583015,0.977624785
Trichosporon_asahii,Mock2,Qmin17,vtd,simNCBI,0.391247974,0.452738185,0.34446347
Tuber_brumale,Mock2,Qmin17,vtd,simNCBI,0.535519126,0.38225256,0.89395667
Wickerhamomyces_anomalus,Mock2,Qmin17,vtd,simNCBI,0.569415665,0.39826087,0.998546512
Yamadazyma_mexicana,Mock2,Qmin17,vtd,simNCBI,0.269096549,0.497609943,0.184410983
Yamadazyma_scolyti,Mock2,Qmin17,vtd,simNCBI,0.560497057,0.480112045,0.673212883
Yarrowia_lipolytica,Mock2,Qmin17,vtd,simNCBI,0.56012966,0.488411532,0.656534954
Zymoseptoria_tritici,Mock2,Qmin17,vtd,simNCBI,0.105836576,0.499082569,0.059194777
Aspergillus_flavus,Mock2,Qmin17,mycoAIBert,simNCBI,0.307772561,0.270642202,0.356711004
Aspergillus_fumigatus,Mock2,Qmin17,mycoAIBert,simNCBI,0.040309221,0.028294574,0.070057582
Blastobotrys_adeninivorans,Mock2,Qmin17,mycoAIBert,simNCBI,0.000724113,0.00076864,0.000684463
Blastobotrys_proliferans,Mock2,Qmin17,mycoAIBert,simNCBI,0.260162602,0.48440367,0.177837656
Candida_boleticola,Mock2,Qmin17,mycoAIBert,simNCBI,0.098967298,0.105504587,0.093192869
Candida_caryicola,Mock2,Qmin17,mycoAIBert,simNCBI,0.074939565,0.170642202,0.04801239
Candida_catenulata,Mock2,Qmin17,mycoAIBert,simNCBI,0.003359173,0.011453744,0.001968206
Candida_dubliniensis,Mock2,Qmin17,mycoAIBert,simNCBI,0.009082652,0.004587156,0.454545455
Candida_glabrata,Mock2,Qmin17,mycoAIBert,simNCBI,0.134973479,0.219127886,0.0975212
Candida_metapsilosis,Mock2,Qmin17,mycoAIBert,simNCBI,0.000997009,0.000504286,0.043478261
Candida_parapsilosis,Mock2,Qmin17,mycoAIBert,simNCBI,0.008277765,0.00565682,0.015424165
Candida_tropicalis,Mock2,Qmin17,mycoAIBert,simNCBI,0.565912519,0.411223148,0.907156673
Candida_zeylanoides,Mock2,Qmin17,mycoAIBert,simNCBI,0.23849032,0.490629183,0.157532775
Cryptococcus_gattii_VGI,Mock2,Qmin17,mycoAIBert,simNCBI,0.004142012,0.002508062,0.01188455
Cryptococcus_neoformans_VNIII,Mock2,Qmin17,mycoAIBert,simNCBI,0,0,0
Diplodia_seriata,Mock2,Qmin17,mycoAIBert,simNCBI,0.495656617,0.38665958,0.690227704
Fusarium_pseudograminearum,Mock2,Qmin17,mycoAIBert,simNCBI,0.031609965,0.025021204,0.042909091
