Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Pichia_membranifaciens,Mock2,Qmin15,dnabarcoder,NCBI,0.803775744,0.672409667,0.998933523
Quambalaria_cyanescens,Mock2,Qmin15,dnabarcoder,NCBI,0.904861111,0.829936306,0.994656489
Rhodotorula_mucilaginosa,Mock2,Qmin15,dnabarcoder,NCBI,0.864327062,0.762771392,0.997078464
Scedosporium_aurantiacum,Mock2,Qmin15,dnabarcoder,NCBI,0.942539836,0.895412844,0.99490316
Trichomonascus_ciferrii,Mock2,Qmin15,dnabarcoder,NCBI,0.107168718,0.05661821,1
Trichosporon_asahii,Mock2,Qmin15,dnabarcoder,NCBI,0.945684377,0.897974494,0.998748436
Tuber_brumale,Mock2,Qmin15,dnabarcoder,NCBI,0.837104072,0.72159922,0.996632997
Wickerhamomyces_anomalus,Mock2,Qmin15,dnabarcoder,NCBI,0.956417193,0.922318841,0.993133583
Yamadazyma_mexicana,Mock2,Qmin15,dnabarcoder,NCBI,0.974296206,0.95124283,0.998494732
Yamadazyma_scolyti,Mock2,Qmin15,dnabarcoder,NCBI,0.982056394,0.965826331,0.998841251
Yarrowia_lipolytica,Mock2,Qmin15,dnabarcoder,NCBI,0,0,0
Zymoseptoria_tritici,Mock2,Qmin15,dnabarcoder,NCBI,0.964370546,0.931192661,1
Aspergillus_flavus,Mock2,Qmin15,emu,NCBI,0,0,0
Aspergillus_fumigatus,Mock2,Qmin15,emu,NCBI,0.043429527,0.022196761,1
Blastobotrys_adeninivorans,Mock2,Qmin15,emu,NCBI,0.961691575,0.926209932,1
Blastobotrys_proliferans,Mock2,Qmin15,emu,NCBI,0.974886992,0.95100441,1
Candida_boleticola,Mock2,Qmin15,emu,NCBI,0.956749628,0.917085345,1
Candida_caryicola,Mock2,Qmin15,emu,NCBI,0.917147834,0.846974187,1
Candida_catenulata,Mock2,Qmin15,emu,NCBI,0.587101891,0.41553024,1
Candida_dubliniensis,Mock2,Qmin15,emu,NCBI,0.97302707,0.947471002,1
Candida_glabrata,Mock2,Qmin15,emu,NCBI,0.656779561,0.48895888,1
Candida_metapsilosis,Mock2,Qmin15,emu,NCBI,0,0,0
Candida_parapsilosis,Mock2,Qmin15,emu,NCBI,0.959038702,0.921301017,1
Candida_tropicalis,Mock2,Qmin15,emu,NCBI,0.945203695,0.896100689,1
Candida_zeylanoides,Mock2,Qmin15,emu,NCBI,0.276819963,0.160644829,1
Cryptococcus_gattii_VGI,Mock2,Qmin15,emu,NCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,emu,NCBI,0.123211412,0.065650129,1
Diplodia_seriata,Mock2,Qmin15,emu,NCBI,0.967073716,0.936246594,1
Fusarium_pseudograminearum,Mock2,Qmin15,emu,NCBI,0.975973253,0.953073986,1
Kluyveromyces_lactis,Mock2,Qmin15,emu,NCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin15,emu,NCBI,0.976177977,0.953464524,1
Kodamaea_ohmeri,Mock2,Qmin15,emu,NCBI,0.978118162,0.957173448,1
Leptosphaeria_maculans,Mock2,Qmin15,emu,NCBI,0.973217421,0.947832035,1
Penicillium_chrysogenum,Mock2,Qmin15,emu,NCBI,0,0,0
Pichia_kudriavzevii,Mock2,Qmin15,emu,NCBI,0.932547064,0.942556869,0.922747631
Pichia_membranifaciens,Mock2,Qmin15,emu,NCBI,0.556393487,0.385419075,1
Quambalaria_cyanescens,Mock2,Qmin15,emu,NCBI,0.470071044,0.307250243,1
Rhodotorula_mucilaginosa,Mock2,Qmin15,emu,NCBI,0.844668763,0.731573825,0.999124741
Scedosporium_aurantiacum,Mock2,Qmin15,emu,NCBI,0.350530472,0.212511032,1
Trichomonascus_ciferrii,Mock2,Qmin15,emu,NCBI,0.066368961,0.034323488,1
Trichosporon_asahii,Mock2,Qmin15,emu,NCBI,0.810149957,0.680884084,1
Tuber_brumale,Mock2,Qmin15,emu,NCBI,0.176242947,0.096637294,1
Wickerhamomyces_anomalus,Mock2,Qmin15,emu,NCBI,0.267356645,0.154305642,1
Yamadazyma_mexicana,Mock2,Qmin15,emu,NCBI,0.966357699,0.934905333,1
Yamadazyma_scolyti,Mock2,Qmin15,emu,NCBI,0.974674434,0.950599952,1
Yarrowia_lipolytica,Mock2,Qmin15,emu,NCBI,0.74063698,0.618703625,0.922427955
Zymoseptoria_tritici,Mock2,Qmin15,emu,NCBI,0.979784852,0.960370813,1
Aspergillus_flavus,Mock2,Qmin17,minimap2,NCBI,0,0,0
Aspergillus_fumigatus,Mock2,Qmin17,minimap2,NCBI,0.01079414,0.005426357,1
Blastobotrys_adeninivorans,Mock2,Qmin17,minimap2,NCBI,0.974639095,0.960030746,0.989698891
Blastobotrys_proliferans,Mock2,Qmin17,minimap2,NCBI,0.858333333,0.755963303,0.992771084
Candida_boleticola,Mock2,Qmin17,minimap2,NCBI,0.845055526,0.733027523,0.997503121
Candida_caryicola,Mock2,Qmin17,minimap2,NCBI,0.40497076,0.25412844,0.996402878
Candida_catenulata,Mock2,Qmin17,minimap2,NCBI,0.235841738,0.133920705,0.987012987
Candida_dubliniensis,Mock2,Qmin17,minimap2,NCBI,0.911442786,0.840366972,0.995652174
Candida_glabrata,Mock2,Qmin17,minimap2,NCBI,0.395301028,0.24661048,0.99556213
Candida_metapsilosis,Mock2,Qmin17,minimap2,NCBI,0,0,0
Candida_parapsilosis,Mock2,Qmin17,minimap2,NCBI,0.945040436,0.899748586,0.99513382
Candida_tropicalis,Mock2,Qmin17,minimap2,NCBI,0.902450745,0.823323104,0.998405104
Candida_zeylanoides,Mock2,Qmin17,minimap2,NCBI,0.257575758,0.147925033,0.995495495
Cryptococcus_gattii_VGI,Mock2,Qmin17,minimap2,NCBI,0.000716332,0.000358295,1
Cryptococcus_neoformans_VNIII,Mock2,Qmin17,minimap2,NCBI,0.001474383,0.000737735,1
Diplodia_seriata,Mock2,Qmin17,minimap2,NCBI,0.898347228,0.816104172,0.999024073
Fusarium_pseudograminearum,Mock2,Qmin17,minimap2,NCBI,0.181257231,0.099660729,1
Kluyveromyces_lactis,Mock2,Qmin17,minimap2,NCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin17,minimap2,NCBI,0.806220096,0.681726231,0.986341463
Kodamaea_ohmeri,Mock2,Qmin17,minimap2,NCBI,0.258224705,0.148465382,0.99047619
Leptosphaeria_maculans,Mock2,Qmin17,minimap2,NCBI,0.959194489,0.924885028,0.996147496
Penicillium_chrysogenum,Mock2,Qmin17,minimap2,NCBI,0,0,0
Pichia_kudriavzevii,Mock2,Qmin17,minimap2,NCBI,0.389572773,0.246788991,0.924398625
Pichia_membranifaciens,Mock2,Qmin17,minimap2,NCBI,0.822353604,0.698971046,0.998632479
Quambalaria_cyanescens,Mock2,Qmin17,minimap2,NCBI,0.027638191,0.014012739,1
Rhodotorula_mucilaginosa,Mock2,Qmin17,minimap2,NCBI,0.777864078,0.639527458,0.992566898
Scedosporium_aurantiacum,Mock2,Qmin17,minimap2,NCBI,0.435032304,0.277981651,1
Trichomonascus_ciferrii,Mock2,Qmin17,minimap2,NCBI,0.001529052,0.000765111,1
Trichosporon_asahii,Mock2,Qmin17,minimap2,NCBI,0.682625864,0.518754689,0.997835498
Tuber_brumale,Mock2,Qmin17,minimap2,NCBI,0.24024024,0.136518771,1
Wickerhamomyces_anomalus,Mock2,Qmin17,minimap2,NCBI,0.195402299,0.108405797,0.989417989
Yamadazyma_mexicana,Mock2,Qmin17,minimap2,NCBI,0.926068048,0.865200765,0.996147496
Yamadazyma_scolyti,Mock2,Qmin17,minimap2,NCBI,0.78956286,0.652661064,0.999142367
Yarrowia_lipolytica,Mock2,Qmin17,minimap2,NCBI,0.882574659,0.860373092,0.905952381
Zymoseptoria_tritici,Mock2,Qmin17,minimap2,NCBI,0.428262437,0.272477064,1
Aspergillus_flavus,Mock2,Qmin17,kraken2,NCBI,0,0,0
Aspergillus_fumigatus,Mock2,Qmin17,kraken2,NCBI,0.038768529,0.019767442,1
Blastobotrys_adeninivorans,Mock2,Qmin17,kraken2,NCBI,0.976635514,0.963873943,0.989739542
Blastobotrys_proliferans,Mock2,Qmin17,kraken2,NCBI,0.977632805,0.962385321,0.993371212
Candida_boleticola,Mock2,Qmin17,kraken2,NCBI,0.983271375,0.970642202,0.996233522
Candida_caryicola,Mock2,Qmin17,kraken2,NCBI,0.968470588,0.944036697,0.994202899
Candida_catenulata,Mock2,Qmin17,kraken2,NCBI,0.976286353,0.96123348,0.991818182
Candida_dubliniensis,Mock2,Qmin17,kraken2,NCBI,0.975198877,0.955963303,0.995224451
Candida_glabrata,Mock2,Qmin17,kraken2,NCBI,0.839312248,0.724441187,0.997477296
Candida_metapsilosis,Mock2,Qmin17,kraken2,NCBI,0,0,0
Candida_parapsilosis,Mock2,Qmin17,kraken2,NCBI,0.97696737,0.959773727,0.994788274
Candida_tropicalis,Mock2,Qmin17,kraken2,NCBI,0.970939401,0.94476107,0.998609824
Candida_zeylanoides,Mock2,Qmin17,kraken2,NCBI,0.976886472,0.96184739,0.992403315
Cryptococcus_gattii_VGI,Mock2,Qmin17,kraken2,NCBI,0.3502658,0.212468649,0.996638655
Cryptococcus_neoformans_VNIII,Mock2,Qmin17,kraken2,NCBI,0.97063253,0.950940612,0.991157247
Diplodia_seriata,Mock2,Qmin17,kraken2,NCBI,0.905073412,0.82726548,0.999037227
Fusarium_pseudograminearum,Mock2,Qmin17,kraken2,NCBI,0.965350877,0.933418151,0.999545867
Kluyveromyces_lactis,Mock2,Qmin17,kraken2,NCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin17,kraken2,NCBI,0.971232877,0.956169926,0.98677801
Kodamaea_ohmeri,Mock2,Qmin17,kraken2,NCBI,0.976777939,0.960742327,0.993357934
Leptosphaeria_maculans,Mock2,Qmin17,kraken2,NCBI,0.972534659,0.949923352,0.99624866
Penicillium_chrysogenum,Mock2,Qmin17,kraken2,NCBI,0,0,0
Pichia_kudriavzevii,Mock2,Qmin17,kraken2,NCBI,0.935323383,0.948623853,0.922390723
Pichia_membranifaciens,Mock2,Qmin17,kraken2,NCBI,0.84047124,0.725532424,0.998682477
Quambalaria_cyanescens,Mock2,Qmin17,kraken2,NCBI,0.898632059,0.815923567,1
Rhodotorula_mucilaginosa,Mock2,Qmin17,kraken2,NCBI,0,0,0
Scedosporium_aurantiacum,Mock2,Qmin17,kraken2,NCBI,0.939922481,0.889908257,0.995893224
Trichomonascus_ciferrii,Mock2,Qmin17,kraken2,NCBI,0.833777778,0.717674063,0.994697773
Trichosporon_asahii,Mock2,Qmin17,kraken2,NCBI,0.945124358,0.897974494,0.9975
Tuber_brumale,Mock2,Qmin17,kraken2,NCBI,0.853638138,0.746465139,0.996744792
Wickerhamomyces_anomalus,Mock2,Qmin17,kraken2,NCBI,0.969895678,0.943188406,0.998159509
Yamadazyma_mexicana,Mock2,Qmin17,kraken2,NCBI,0.981077147,0.966539197,0.996059113
Yamadazyma_scolyti,Mock2,Qmin17,kraken2,NCBI,0.983802217,0.969747899,0.998269896
