Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Aspergillus_fumigatus,Mock1,Qmin15,GSD,dnabarcoder,0.698834197,0.5395,0.991727941
Asteroma_sp._CCL060,Mock1,Qmin15,GSD,dnabarcoder,0.977391304,0.9835,0.971358025
Austropuccinia_psidii,Mock1,Qmin15,GSD,dnabarcoder,0.985929648,0.981,0.990909091
Blastobotrys_adeninivorans,Mock1,Qmin15,GSD,dnabarcoder,0.991739675,0.9905,0.992982456
Blastobotrys_proliferans,Mock1,Qmin15,GSD,dnabarcoder,0.977076658,0.991,0.963539135
Botrytis_cinerea,Mock1,Qmin15,GSD,dnabarcoder,0.643453375,0.6745,0.615139079
Botrytis_fabae,Mock1,Qmin15,GSD,dnabarcoder,0.59462337,0.5585,0.635742743
Candida_boleticola,Mock1,Qmin15,GSD,dnabarcoder,0.981290005,0.9965,0.966537342
Candida_caryicola,Mock1,Qmin15,GSD,dnabarcoder,0.967205091,0.988,0.947267498
Candida_catenulata,Mock1,Qmin15,GSD,dnabarcoder,0.967898833,0.995,0.942234848
Candida_dubliniensis,Mock1,Qmin15,GSD,dnabarcoder,0.981790592,0.9705,0.993346981
Candida_glabrata,Mock1,Qmin15,GSD,dnabarcoder,0.850979279,0.7495,0.984241628
Candida_metapsilosis,Mock1,Qmin15,GSD,dnabarcoder,0.97919278,0.9765,0.981900452
Candida_parapsilosis,Mock1,Qmin15,GSD,dnabarcoder,0.983419946,0.9935,0.973542381
Candida_tropicalis,Mock1,Qmin15,GSD,dnabarcoder,0.989520958,0.9915,0.987549801
Candida_zeylanoides,Mock1,Qmin15,GSD,dnabarcoder,0.982543641,0.985,0.980099502
Cortinarius_globuliformis,Mock1,Qmin15,GSD,dnabarcoder,0.930257226,0.877,0.990400903
Cryptococcus_gattii_VGI,Mock1,Qmin15,GSD,dnabarcoder,0.942317777,0.8985,0.990628445
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,GSD,dnabarcoder,0.98320381,0.9805,0.985922574
Cryptovalsa_ampelina,Mock1,Qmin15,GSD,dnabarcoder,0.972986248,0.9905,0.956081081
Diaporthe_sp._CCL067,Mock1,Qmin15,GSD,dnabarcoder,0.990518962,0.9925,0.988545817
Diplodia_seriata,Mock1,Qmin15,GSD,dnabarcoder,0.992492492,0.9915,0.993486974
Entoleuca_sp._,Mock1,Qmin15,GSD,dnabarcoder,0.990954774,0.986,0.995959596
Erysiphe_necator,Mock1,Qmin15,GSD,dnabarcoder,0.966914593,0.9425,0.992627699
Eutypa_lata,Mock1,Qmin15,GSD,dnabarcoder,0.991685563,0.984,0.999492128
Fusarium_proliferatum,Mock1,Qmin15,GSD,dnabarcoder,0.984142965,0.9775,0.990876837
Fusarium_pseudograminearum,Mock1,Qmin15,GSD,dnabarcoder,0.971457186,0.97,0.972918756
Geotrichum_candidum,Mock1,Qmin15,GSD,dnabarcoder,0.994008987,0.9955,0.992522433
Kluyveromyces_lactis,Mock1,Qmin15,GSD,dnabarcoder,0.981504316,0.995,0.96836983
Kluyveromyces_marxianus,Mock1,Qmin15,GSD,dnabarcoder,0.989049278,0.9935,0.984638256
Kodamaea_ohmeri,Mock1,Qmin15,GSD,dnabarcoder,0.984166876,0.979,0.98938858
Leptosphaeria_maculans,Mock1,Qmin15,GSD,dnabarcoder,0.99273729,0.991,0.994480682
Penicillium_chrysogenum,Mock1,Qmin15,GSD,dnabarcoder,0.931400966,0.964,0.900934579
Pichia_kudriavzevii,Mock1,Qmin15,GSD,dnabarcoder,0.96541502,0.977,0.954101563
Pichia_membranifaciens,Mock1,Qmin15,GSD,dnabarcoder,0.865781294,0.766,0.995451592
Puccinia_graminis_,Mock1,Qmin15,GSD,dnabarcoder,0.98710493,0.976,0.998465473
Puccinia_striiformis_var_tritici,Mock1,Qmin15,GSD,dnabarcoder,0.982251521,0.9685,0.996399177
Puccinia_triticina,Mock1,Qmin15,GSD,dnabarcoder,0.981103928,0.9865,0.975766568
Pyrenophora_tritici-repentis,Mock1,Qmin15,GSD,dnabarcoder,0.90797546,0.851,0.973127501
Quambalaria_cyanescens,Mock1,Qmin15,GSD,dnabarcoder,0.981360202,0.974,0.988832487
Rhodotorula_mucilaginosa,Mock1,Qmin15,GSD,dnabarcoder,0.993996998,0.9935,0.994494494
Scedosporium_aurantiacum,Mock1,Qmin15,GSD,dnabarcoder,0.97965412,0.963,0.99689441
Scedosporium_boydii,Mock1,Qmin15,GSD,dnabarcoder,0.982905983,0.9775,0.988372093
Sclerotinia_sclerotiorum,Mock1,Qmin15,GSD,dnabarcoder,0.974035795,0.966,0.982206406
Sporisorium_scitamineum,Mock1,Qmin15,GSD,dnabarcoder,0.935099338,0.8825,0.994366197
Trichomonascus_ciferrii,Mock1,Qmin15,GSD,dnabarcoder,0.984560871,0.9725,0.996924654
Trichosporon_asahii,Mock1,Qmin15,GSD,dnabarcoder,0.980392157,0.9875,0.973385904
Tuber_brumale,Mock1,Qmin15,GSD,dnabarcoder,0.966748166,0.9885,0.945933014
Wickerhamomyces_anomalus,Mock1,Qmin15,GSD,dnabarcoder,0.98743087,0.982,0.992922144
Yamadazyma_mexicana,Mock1,Qmin15,GSD,dnabarcoder,0.992267398,0.9945,0.990044798
Yamadazyma_scolyti,Mock1,Qmin15,GSD,dnabarcoder,0.987135082,0.9975,0.97698335
Yarrowia_lipolytica,Mock1,Qmin15,GSD,dnabarcoder,0.954600048,0.9935,0.91863153
Zymoseptoria_tritici,Mock1,Qmin15,GSD,dnabarcoder,0.987234043,0.986,0.988471178
Aspergillus_flavus,Mock1,Qmin15,GSD,emu,0.76207788,0.792166551,0.734191271
Aspergillus_fumigatus,Mock1,Qmin15,GSD,emu,0.705921347,0.545501114,1
Asteroma_sp._CCL060,Mock1,Qmin15,GSD,emu,0.99032333,0.9865,0.994176411
Austropuccinia_psidii,Mock1,Qmin15,GSD,emu,0.994469583,0.989,1
Blastobotrys_adeninivorans,Mock1,Qmin15,GSD,emu,0.998748436,0.9975,1
Blastobotrys_proliferans,Mock1,Qmin15,GSD,emu,0.99949975,0.999,1
Botrytis_cinerea,Mock1,Qmin15,GSD,emu,0.995964846,0.999,0.992948079
Botrytis_fabae,Mock1,Qmin15,GSD,emu,0.988366211,0.977,1
Candida_boleticola,Mock1,Qmin15,GSD,emu,0.973730408,0.953879585,0.994425006
Candida_caryicola,Mock1,Qmin15,GSD,emu,0.943536389,0.9945,0.897541463
Candida_catenulata,Mock1,Qmin15,GSD,emu,0.992058501,0.998,0.986187328
Candida_dubliniensis,Mock1,Qmin15,GSD,emu,0.998497747,0.997,1
Candida_glabrata,Mock1,Qmin15,GSD,emu,0.856056401,0.76392816,0.973452918
Candida_metapsilosis,Mock1,Qmin15,GSD,emu,0.991763538,0.999,0.98463116
Candida_parapsilosis,Mock1,Qmin15,GSD,emu,0.99328255,1,0.986654746
Candida_tropicalis,Mock1,Qmin15,GSD,emu,0.999249437,0.9985,1
Candida_zeylanoides,Mock1,Qmin15,GSD,emu,0.984190639,0.9995,0.96934319
Cortinarius_globuliformis,Mock1,Qmin15,GSD,emu,0.912140001,0.838471864,1
Cryptococcus_gattii_VGI,Mock1,Qmin15,GSD,emu,0.953701282,0.9115,1
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,GSD,emu,0.968463817,0.987,0.950611031
Cryptovalsa_ampelina,Mock1,Qmin15,GSD,emu,0.999249437,0.9985,1
Diaporthe_sp._CCL067,Mock1,Qmin15,GSD,emu,0.998246932,0.9965,1
Diplodia_seriata,Mock1,Qmin15,GSD,emu,0.993163345,0.9945,0.991830277
Entoleuca_sp._,Mock1,Qmin15,GSD,emu,0.996235885,0.9925,1
Erysiphe_necator,Mock1,Qmin15,GSD,emu,0.973889205,0.94910726,1
Eutypa_lata,Mock1,Qmin15,GSD,emu,0.993963783,0.988,1
Fusarium_proliferatum,Mock1,Qmin15,GSD,emu,0.985419795,0.9895,0.981373101
Fusarium_pseudograminearum,Mock1,Qmin15,GSD,emu,0.987029173,0.974390522,1
Geotrichum_candidum,Mock1,Qmin15,GSD,emu,0.99218716,0.9995,0.984980552
Kluyveromyces_lactis,Mock1,Qmin15,GSD,emu,0.999749937,0.9995,1
Kluyveromyces_marxianus,Mock1,Qmin15,GSD,emu,0.994427621,0.9975,0.991374109
Kodamaea_ohmeri,Mock1,Qmin15,GSD,emu,0.990408884,0.981,1
Leptosphaeria_maculans,Mock1,Qmin15,GSD,emu,0.996990973,0.994,1
Penicillium_chrysogenum,Mock1,Qmin15,GSD,emu,0.958972438,0.9695,0.948671053
