Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Pichia_membranifaciens,Mock1,Qmin15,NCBI,dnabarcoder,0.805613616,0.6745,1
Quambalaria_cyanescens,Mock1,Qmin15,NCBI,dnabarcoder,0.900356849,0.82,0.998174072
Rhodotorula_mucilaginosa,Mock1,Qmin15,NCBI,dnabarcoder,0.86409966,0.763,0.996083551
Scedosporium_aurantiacum,Mock1,Qmin15,NCBI,dnabarcoder,0.94437121,0.8955,0.998884551
Trichomonascus_ciferrii,Mock1,Qmin15,NCBI,dnabarcoder,0.119417019,0.0635,1
Trichosporon_asahii,Mock1,Qmin15,NCBI,dnabarcoder,0.95078534,0.908,0.997802198
Tuber_brumale,Mock1,Qmin15,NCBI,dnabarcoder,0.82871316,0.71,0.995094604
Wickerhamomyces_anomalus,Mock1,Qmin15,NCBI,dnabarcoder,0.955752212,0.918,0.996742671
Yamadazyma_mexicana,Mock1,Qmin15,NCBI,dnabarcoder,0.972101357,0.9495,0.995804929
Yamadazyma_scolyti,Mock1,Qmin15,NCBI,dnabarcoder,0.982482864,0.9675,0.997937081
Yarrowia_lipolytica,Mock1,Qmin15,NCBI,dnabarcoder,0,0,0
Zymoseptoria_tritici,Mock1,Qmin15,NCBI,dnabarcoder,0.95916775,0.922,0.999457995
Aspergillus_flavus,Mock1,Qmin15,NCBI,emu,0,0,0
Aspergillus_fumigatus,Mock1,Qmin15,NCBI,emu,0.054481251,0.028003457,1
Blastobotrys_adeninivorans,Mock1,Qmin15,NCBI,emu,0.953926575,0.91191168,1
Blastobotrys_proliferans,Mock1,Qmin15,NCBI,emu,0.973662248,0.948676249,1
Candida_boleticola,Mock1,Qmin15,NCBI,emu,0.967641739,0.937311955,1
Candida_caryicola,Mock1,Qmin15,NCBI,emu,0.92443556,0.859488772,1
Candida_catenulata,Mock1,Qmin15,NCBI,emu,0.616081728,0.445172045,1
Candida_dubliniensis,Mock1,Qmin15,NCBI,emu,0.966394846,0.934974871,1
Candida_glabrata,Mock1,Qmin15,NCBI,emu,0.638894675,0.469394002,1
Candida_metapsilosis,Mock1,Qmin15,NCBI,emu,0,0,0
Candida_parapsilosis,Mock1,Qmin15,NCBI,emu,0.966312348,0.934820442,1
Candida_tropicalis,Mock1,Qmin15,NCBI,emu,0.949157387,0.90323458,1
Candida_zeylanoides,Mock1,Qmin15,NCBI,emu,0.316100066,0.187719032,1
Cryptococcus_gattii_VGI,Mock1,Qmin15,NCBI,emu,0,0,0
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,NCBI,emu,0.138607447,0.074464382,1
Diplodia_seriata,Mock1,Qmin15,NCBI,emu,0.96482448,0.932039506,1
Fusarium_pseudograminearum,Mock1,Qmin15,NCBI,emu,0.978702731,0.958293692,1
Kluyveromyces_lactis,Mock1,Qmin15,NCBI,emu,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin15,NCBI,emu,0.967008239,0.936123865,1
Kodamaea_ohmeri,Mock1,Qmin15,NCBI,emu,0.974358974,0.95,1
Leptosphaeria_maculans,Mock1,Qmin15,NCBI,emu,0.973105571,0.947619876,1
Penicillium_chrysogenum,Mock1,Qmin15,NCBI,emu,0,0,0
Pichia_kudriavzevii,Mock1,Qmin15,NCBI,emu,0.94631635,0.9315432,0.961565619
Pichia_membranifaciens,Mock1,Qmin15,NCBI,emu,0.558785013,0.387718014,1
Quambalaria_cyanescens,Mock1,Qmin15,NCBI,emu,0.453362801,0.293128086,1
Rhodotorula_mucilaginosa,Mock1,Qmin15,NCBI,emu,0.841493971,0.726361323,1
Scedosporium_aurantiacum,Mock1,Qmin15,NCBI,emu,0.298897111,0.175707838,1
Trichomonascus_ciferrii,Mock1,Qmin15,NCBI,emu,0.087457195,0.045728229,1
Trichosporon_asahii,Mock1,Qmin15,NCBI,emu,0.822240624,0.698139739,1
Tuber_brumale,Mock1,Qmin15,NCBI,emu,0.171871705,0.094015122,1
Wickerhamomyces_anomalus,Mock1,Qmin15,NCBI,emu,0.282408076,0.164420938,1
Yamadazyma_mexicana,Mock1,Qmin15,NCBI,emu,0.960989262,0.924907922,1
Yamadazyma_scolyti,Mock1,Qmin15,NCBI,emu,0.971875614,0.945289916,1
Yarrowia_lipolytica,Mock1,Qmin15,NCBI,emu,0.723506282,0.591650431,0.93098706
Zymoseptoria_tritici,Mock1,Qmin15,NCBI,emu,0.980963073,0.962637415,1
Aspergillus_flavus,Mock1,Qmin17,NCBI,minimap2,0,0,0
Aspergillus_fumigatus,Mock1,Qmin17,NCBI,minimap2,0.010939831,0.0055,1
Blastobotrys_adeninivorans,Mock1,Qmin17,NCBI,minimap2,0.973953013,0.9535,0.995302714
Blastobotrys_proliferans,Mock1,Qmin17,NCBI,minimap2,0.846463485,0.736,0.99594046
Candida_boleticola,Mock1,Qmin17,NCBI,minimap2,0.855511136,0.749,0.997336884
Candida_caryicola,Mock1,Qmin17,NCBI,minimap2,0.403193613,0.2525,1
Candida_catenulata,Mock1,Qmin17,NCBI,minimap2,0.242211496,0.138,0.989247312
Candida_dubliniensis,Mock1,Qmin17,NCBI,minimap2,0.911213684,0.839,0.997029115
Candida_glabrata,Mock1,Qmin17,NCBI,minimap2,0.384367446,0.2385,0.989626556
Candida_metapsilosis,Mock1,Qmin17,NCBI,minimap2,0.0009995,0.0005,1
Candida_parapsilosis,Mock1,Qmin17,NCBI,minimap2,0.93731817,0.886,0.994946659
Candida_tropicalis,Mock1,Qmin17,NCBI,minimap2,0.899505766,0.819,0.997563946
Candida_zeylanoides,Mock1,Qmin17,NCBI,minimap2,0.246275197,0.1405,0.996453901
Cryptococcus_gattii_VGI,Mock1,Qmin17,NCBI,minimap2,0,0,0
Cryptococcus_neoformans_VNIII,Mock1,Qmin17,NCBI,minimap2,0,0,0
Diplodia_seriata,Mock1,Qmin17,NCBI,minimap2,0.901508916,0.8215,0.998784195
Fusarium_pseudograminearum,Mock1,Qmin17,NCBI,minimap2,0.166743014,0.091,0.994535519
Kluyveromyces_lactis,Mock1,Qmin17,NCBI,minimap2,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin17,NCBI,minimap2,0.812555523,0.686,0.996368918
Kodamaea_ohmeri,Mock1,Qmin17,NCBI,minimap2,0.257615318,0.148,0.993288591
Leptosphaeria_maculans,Mock1,Qmin17,NCBI,minimap2,0.956521739,0.9185,0.997827268
Penicillium_chrysogenum,Mock1,Qmin17,NCBI,minimap2,0,0,0
Pichia_kudriavzevii,Mock1,Qmin17,NCBI,minimap2,0.372224465,0.2305,0.966457023
Pichia_membranifaciens,Mock1,Qmin17,NCBI,minimap2,0.808447353,0.6795,0.997797357
Quambalaria_cyanescens,Mock1,Qmin17,NCBI,minimap2,0.018811881,0.0095,0.95
Rhodotorula_mucilaginosa,Mock1,Qmin17,NCBI,minimap2,0.781553398,0.644,0.99382716
Scedosporium_aurantiacum,Mock1,Qmin17,NCBI,minimap2,0.414885194,0.262,0.996197719
Trichomonascus_ciferrii,Mock1,Qmin17,NCBI,minimap2,0.002995507,0.0015,1
Trichosporon_asahii,Mock1,Qmin17,NCBI,minimap2,0.694915254,0.533,0.998127341
Tuber_brumale,Mock1,Qmin17,NCBI,minimap2,0.240879121,0.137,0.996363636
Wickerhamomyces_anomalus,Mock1,Qmin17,NCBI,minimap2,0.220444444,0.124,0.992
Yamadazyma_mexicana,Mock1,Qmin17,NCBI,minimap2,0.913727618,0.842,0.99881376
Yamadazyma_scolyti,Mock1,Qmin17,NCBI,minimap2,0.803224843,0.6725,0.997034841
Yarrowia_lipolytica,Mock1,Qmin17,NCBI,minimap2,0.895351857,0.862,0.931388439
Zymoseptoria_tritici,Mock1,Qmin17,NCBI,minimap2,0.407643312,0.256,1
Aspergillus_flavus,Mock1,Qmin17,NCBI,kraken2,0,0,0
Aspergillus_fumigatus,Mock1,Qmin17,NCBI,kraken2,0.044965787,0.023,1
Blastobotrys_adeninivorans,Mock1,Qmin17,NCBI,kraken2,0.975,0.9555,0.9953125
Blastobotrys_proliferans,Mock1,Qmin17,NCBI,kraken2,0.98043202,0.9645,0.996899225
Candida_boleticola,Mock1,Qmin17,NCBI,kraken2,0.98582996,0.974,0.99795082
Candida_caryicola,Mock1,Qmin17,NCBI,kraken2,0.966778264,0.9385,0.996813595
Candida_catenulata,Mock1,Qmin17,NCBI,kraken2,0.980182927,0.9645,0.996384298
Candida_dubliniensis,Mock1,Qmin17,NCBI,kraken2,0.97073922,0.9455,0.997362869
Candida_glabrata,Mock1,Qmin17,NCBI,kraken2,0.841407151,0.7295,0.99386921
Candida_metapsilosis,Mock1,Qmin17,NCBI,kraken2,0.0009995,0.0005,1
Candida_parapsilosis,Mock1,Qmin17,NCBI,kraken2,0.976862446,0.9605,0.993792033
Candida_tropicalis,Mock1,Qmin17,NCBI,kraken2,0.972058447,0.948,0.997369805
Candida_zeylanoides,Mock1,Qmin17,NCBI,kraken2,0.976057056,0.958,0.994807892
Cryptococcus_gattii_VGI,Mock1,Qmin17,NCBI,kraken2,0.349834983,0.212,1
Cryptococcus_neoformans_VNIII,Mock1,Qmin17,NCBI,kraken2,0.968335036,0.948,0.989561587
Diplodia_seriata,Mock1,Qmin17,NCBI,kraken2,0.905113481,0.8275,0.998792999
Fusarium_pseudograminearum,Mock1,Qmin17,NCBI,kraken2,0.963537626,0.9315,0.997857525
Kluyveromyces_lactis,Mock1,Qmin17,NCBI,kraken2,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin17,NCBI,kraken2,0.974987238,0.955,0.995828989
Kodamaea_ohmeri,Mock1,Qmin17,NCBI,kraken2,0.976803467,0.958,0.996359854
Leptosphaeria_maculans,Mock1,Qmin17,NCBI,kraken2,0.972307692,0.948,0.997894737
Penicillium_chrysogenum,Mock1,Qmin17,NCBI,kraken2,0,0,0
Pichia_kudriavzevii,Mock1,Qmin17,NCBI,kraken2,0.957987421,0.952,0.964050633
Pichia_membranifaciens,Mock1,Qmin17,NCBI,kraken2,0.82487533,0.703,0.99787083
Quambalaria_cyanescens,Mock1,Qmin17,NCBI,kraken2,0.892205638,0.807,0.997527812
Rhodotorula_mucilaginosa,Mock1,Qmin17,NCBI,kraken2,0,0,0
Scedosporium_aurantiacum,Mock1,Qmin17,NCBI,kraken2,0.944459068,0.897,0.997220678
Trichomonascus_ciferrii,Mock1,Qmin17,NCBI,kraken2,0.825219941,0.7035,0.99787234
Trichosporon_asahii,Mock1,Qmin17,NCBI,kraken2,0.950484674,0.907,0.998348927
Tuber_brumale,Mock1,Qmin17,NCBI,kraken2,0.84728214,0.7365,0.997291808
Wickerhamomyces_anomalus,Mock1,Qmin17,NCBI,kraken2,0.970784213,0.947,0.995793901
Yamadazyma_mexicana,Mock1,Qmin17,NCBI,kraken2,0.986848761,0.9755,0.998464688
Yamadazyma_scolyti,Mock1,Qmin17,NCBI,kraken2,0.980930587,0.9645,0.997930678
Yarrowia_lipolytica,Mock1,Qmin17,NCBI,kraken2,0.945899633,0.966,0.926618705
Zymoseptoria_tritici,Mock1,Qmin17,NCBI,kraken2,0.975684669,0.953,0.999475616
Aspergillus_flavus,Mock1,Qmin17,NCBI,dnabarcoder,0.037291462,0.019,1
Aspergillus_fumigatus,Mock1,Qmin17,NCBI,dnabarcoder,0.033431662,0.017,1
Blastobotrys_adeninivorans,Mock1,Qmin17,NCBI,dnabarcoder,0.972115631,0.95,0.99528549
Blastobotrys_proliferans,Mock1,Qmin17,NCBI,dnabarcoder,0.98042207,0.964,0.997413347
Candida_boleticola,Mock1,Qmin17,NCBI,dnabarcoder,0.929487179,0.87,0.997706422
Candida_caryicola,Mock1,Qmin17,NCBI,dnabarcoder,0.958463136,0.923,0.996760259
Candida_catenulata,Mock1,Qmin17,NCBI,dnabarcoder,0.978354978,0.9605,0.996886352
Candida_dubliniensis,Mock1,Qmin17,NCBI,dnabarcoder,0.966494845,0.9375,0.997340426
Candida_glabrata,Mock1,Qmin17,NCBI,dnabarcoder,0.839399191,0.7265,0.993844049
Candida_metapsilosis,Mock1,Qmin17,NCBI,dnabarcoder,0.005976096,0.003,0.75
Candida_parapsilosis,Mock1,Qmin17,NCBI,dnabarcoder,0.971881391,0.9505,0.994246862
Candida_tropicalis,Mock1,Qmin17,NCBI,dnabarcoder,0.9651433,0.9345,0.997864389
Candida_zeylanoides,Mock1,Qmin17,NCBI,dnabarcoder,0.973966309,0.954,0.994786236
Cryptococcus_gattii_VGI,Mock1,Qmin17,NCBI,dnabarcoder,0.463133641,0.3015,0.998344371
Cryptococcus_neoformans_VNIII,Mock1,Qmin17,NCBI,dnabarcoder,0.885809313,0.799,0.993781095
Diplodia_seriata,Mock1,Qmin17,NCBI,dnabarcoder,0.950458716,0.9065,0.998898072
Fusarium_pseudograminearum,Mock1,Qmin17,NCBI,dnabarcoder,0.963537626,0.9315,0.997857525
Kluyveromyces_lactis,Mock1,Qmin17,NCBI,dnabarcoder,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin17,NCBI,dnabarcoder,0.968139774,0.942,0.99577167
Kodamaea_ohmeri,Mock1,Qmin17,NCBI,dnabarcoder,0.976020408,0.9565,0.996354167
Leptosphaeria_maculans,Mock1,Qmin17,NCBI,dnabarcoder,0.97467383,0.9525,0.997904662
Penicillium_chrysogenum,Mock1,Qmin17,NCBI,dnabarcoder,0,0,0
Pichia_kudriavzevii,Mock1,Qmin17,NCBI,dnabarcoder,0.95401718,0.944,0.964249234
Pichia_membranifaciens,Mock1,Qmin17,NCBI,dnabarcoder,0.811275964,0.6835,0.997810219
Quambalaria_cyanescens,Mock1,Qmin17,NCBI,dnabarcoder,0.906062261,0.8295,0.998194946
Rhodotorula_mucilaginosa,Mock1,Qmin17,NCBI,dnabarcoder,0.88290788,0.7955,0.991895262
Scedosporium_aurantiacum,Mock1,Qmin17,NCBI,dnabarcoder,0.940274841,0.8895,0.997197309
Trichomonascus_ciferrii,Mock1,Qmin17,NCBI,dnabarcoder,0.075998076,0.0395,1
Trichosporon_asahii,Mock1,Qmin17,NCBI,dnabarcoder,0.959210184,0.923,0.998377501
Tuber_brumale,Mock1,Qmin17,NCBI,dnabarcoder,0.839606254,0.725,0.997248968
Wickerhamomyces_anomalus,Mock1,Qmin17,NCBI,dnabarcoder,0.959046138,0.925,0.995694295
Yamadazyma_mexicana,Mock1,Qmin17,NCBI,dnabarcoder,0.983764587,0.9695,0.998455201
Yamadazyma_scolyti,Mock1,Qmin17,NCBI,dnabarcoder,0.978061224,0.9585,0.9984375
Yarrowia_lipolytica,Mock1,Qmin17,NCBI,dnabarcoder,0,0,0
Zymoseptoria_tritici,Mock1,Qmin17,NCBI,dnabarcoder,0.959708864,0.923,0.999458581
Aspergillus_flavus,Mock1,Qmin17,NCBI,emu,0,0,0
Aspergillus_fumigatus,Mock1,Qmin17,NCBI,emu,0.051159523,0.026251263,1
Blastobotrys_adeninivorans,Mock1,Qmin17,NCBI,emu,0.968807147,0.939501417,1
Blastobotrys_proliferans,Mock1,Qmin17,NCBI,emu,0.987341772,0.975,1
Candida_boleticola,Mock1,Qmin17,NCBI,emu,0.974491274,0.950251567,1
Candida_caryicola,Mock1,Qmin17,NCBI,emu,0.933873706,0.875950356,1
Candida_catenulata,Mock1,Qmin17,NCBI,emu,0.579065818,0.40752473,1
Candida_dubliniensis,Mock1,Qmin17,NCBI,emu,0.979591837,0.96,1
Candida_glabrata,Mock1,Qmin17,NCBI,emu,0.680336658,0.515538044,1
Candida_metapsilosis,Mock1,Qmin17,NCBI,emu,0,0,0
Candida_parapsilosis,Mock1,Qmin17,NCBI,emu,0.975038453,0.951292715,1
Candida_tropicalis,Mock1,Qmin17,NCBI,emu,0.960537084,0.924070565,1
Candida_zeylanoides,Mock1,Qmin17,NCBI,emu,0.285336816,0.166409834,1
Cryptococcus_gattii_VGI,Mock1,Qmin17,NCBI,emu,0,0,0
Cryptococcus_neoformans_VNIII,Mock1,Qmin17,NCBI,emu,0.088133893,0.04609836,1
Diplodia_seriata,Mock1,Qmin17,NCBI,emu,0.985594123,0.97159741,1
Fusarium_pseudograminearum,Mock1,Qmin17,NCBI,emu,0.971366942,0.944327946,1
Kluyveromyces_lactis,Mock1,Qmin17,NCBI,emu,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin17,NCBI,emu,0.979827737,0.960453222,1
Kodamaea_ohmeri,Mock1,Qmin17,NCBI,emu,0.982964658,0.9665,1
Leptosphaeria_maculans,Mock1,Qmin17,NCBI,emu,0.973721683,0.948789103,1
Penicillium_chrysogenum,Mock1,Qmin17,NCBI,emu,0,0,0
Pichia_kudriavzevii,Mock1,Qmin17,NCBI,emu,0.957403089,0.944340671,0.970831943
Pichia_membranifaciens,Mock1,Qmin17,NCBI,emu,0.576287076,0.404777583,1
Quambalaria_cyanescens,Mock1,Qmin17,NCBI,emu,0.421166697,0.266758179,1
Rhodotorula_mucilaginosa,Mock1,Qmin17,NCBI,emu,0.867194602,0.76552831,1
Scedosporium_aurantiacum,Mock1,Qmin17,NCBI,emu,0.301773914,0.177699493,1
Trichomonascus_ciferrii,Mock1,Qmin17,NCBI,emu,0.067795003,0.035086858,1
Trichosporon_asahii,Mock1,Qmin17,NCBI,emu,0.861168614,0.756186232,1
Tuber_brumale,Mock1,Qmin17,NCBI,emu,0.195585421,0.108392729,1
Wickerhamomyces_anomalus,Mock1,Qmin17,NCBI,emu,0.266096587,0.153466788,1
Yamadazyma_mexicana,Mock1,Qmin17,NCBI,emu,0.976805082,0.954661781,1
Yamadazyma_scolyti,Mock1,Qmin17,NCBI,emu,0.975621967,0.952404225,1
Yarrowia_lipolytica,Mock1,Qmin17,NCBI,emu,0.746039601,0.623745117,0.927984784
Zymoseptoria_tritici,Mock1,Qmin17,NCBI,emu,0.975956201,0.953041464,1
