MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Trichosporon_asahii,Mock3,Qmin17,vuthuyduong,simNCBI,0.375545852,0.466699556,0.314181335
Tuber_brumale,Mock3,Qmin17,vuthuyduong,simNCBI,0.526315789,0.373886091,0.888581952
Wickerhamomyces_anomalus,Mock3,Qmin17,vuthuyduong,simNCBI,0.608225108,0.438377535,0.992932862
Yamadazyma_mexicana,Mock3,Qmin17,vuthuyduong,simNCBI,0.25140472,0.516150297,0.166171477
Yamadazyma_scolyti,Mock3,Qmin17,vuthuyduong,simNCBI,0.544011544,0.491846053,0.608555287
Yarrowia_lipolytica,Mock3,Qmin17,vuthuyduong,simNCBI,0.512449799,0.480421687,0.549053356
Zymoseptoria_tritici,Mock3,Qmin17,vuthuyduong,simNCBI,0.15186822,0.489320388,0.089882297
Aspergillus_flavus,Mock3,Qmin17,mycoAI_bert,simNCBI,0.356628016,0.275012083,0.507130125
Aspergillus_fumigatus,Mock3,Qmin17,mycoAI_bert,simNCBI,0.033798677,0.030893217,0.03730738
Blastobotrys_adeninivorans,Mock3,Qmin17,mycoAI_bert,simNCBI,0,0,0
Blastobotrys_proliferans,Mock3,Qmin17,mycoAI_bert,simNCBI,0.278264497,0.490080823,0.194290708
Candida_boleticola,Mock3,Qmin17,mycoAI_bert,simNCBI,0.101382488,0.094451783,0.109410865
Candida_caryicola,Mock3,Qmin17,mycoAI_bert,simNCBI,0.082763857,0.179423868,0.053787318
Candida_catenulata,Mock3,Qmin17,mycoAI_bert,simNCBI,0.002480774,0.007331378,0.001492983
Candida_dubliniensis,Mock3,Qmin17,mycoAI_bert,simNCBI,0.001099505,0.000550661,0.333333333
Candida_glabrata,Mock3,Qmin17,mycoAI_bert,simNCBI,0.116115318,0.221714866,0.078653708
Candida_metapsilosis,Mock3,Qmin17,mycoAI_bert,simNCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin17,mycoAI_bert,simNCBI,0.009635237,0.00740349,0.013793103
Candida_tropicalis,Mock3,Qmin17,mycoAI_bert,simNCBI,0.557120501,0.423809524,0.812785388
Candida_zeylanoides,Mock3,Qmin17,mycoAI_bert,simNCBI,0.183545583,0.490280778,0.112907237
Cryptococcus_gattii_VGI,Mock3,Qmin17,mycoAI_bert,simNCBI,0.00873744,0.005747126,0.018214936
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,mycoAI_bert,simNCBI,0,0,0
Diplodia_seriata,Mock3,Qmin17,mycoAI_bert,simNCBI,0.461346114,0.386252617,0.572684946
Fusarium_pseudograminearum,Mock3,Qmin17,mycoAI_bert,simNCBI,0.02627166,0.021190261,0.034558824
Kluyveromyces_lactis,Mock3,Qmin17,mycoAI_bert,simNCBI,0.001880288,0.001076426,0.007425743
Kluyveromyces_marxianus,Mock3,Qmin17,mycoAI_bert,simNCBI,0.001500375,0.000797448,0.012658228
Kodamaea_ohmeri,Mock3,Qmin17,mycoAI_bert,simNCBI,0.220322658,0.328545781,0.165730846
Leptosphaeria_maculans,Mock3,Qmin17,mycoAI_bert,simNCBI,0.028961749,0.018064076,0.073002755
Penicillium_chrysogenum,Mock3,Qmin17,mycoAI_bert,simNCBI,0.220009264,0.208699473,0.232615083
Pichia_kudriavzevii,Mock3,Qmin17,mycoAI_bert,simNCBI,0,0,0
Pichia_membranifaciens,Mock3,Qmin17,mycoAI_bert,simNCBI,0.006566946,0.003308824,0.428571429
Quambalaria_cyanescens,Mock3,Qmin17,mycoAI_bert,simNCBI,0.512912913,0.360641892,0.887733888
Rhodotorula_mucilaginosa,Mock3,Qmin17,mycoAI_bert,simNCBI,0,0,0
Scedosporium_aurantiacum,Mock3,Qmin17,mycoAI_bert,simNCBI,0.029832194,0.037441498,0.024793388
Trichomonascus_ciferrii,Mock3,Qmin17,mycoAI_bert,simNCBI,0.005106383,0.004634398,0.005685407
Trichosporon_asahii,Mock3,Qmin17,mycoAI_bert,simNCBI,0.340113914,0.206216083,0.969837587
Tuber_brumale,Mock3,Qmin17,mycoAI_bert,simNCBI,0.028639618,0.016272762,0.119318182
Wickerhamomyces_anomalus,Mock3,Qmin17,mycoAI_bert,simNCBI,0,0,0
Yamadazyma_mexicana,Mock3,Qmin17,mycoAI_bert,simNCBI,0.089001032,0.511535926,0.048740657
Yamadazyma_scolyti,Mock3,Qmin17,mycoAI_bert,simNCBI,0,0,0
Yarrowia_lipolytica,Mock3,Qmin17,mycoAI_bert,simNCBI,0.006647279,0.006024096,0.007414272
Zymoseptoria_tritici,Mock3,Qmin17,mycoAI_bert,simNCBI,0.0063593,0.003883495,0.01754386
Aspergillus_flavus,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.538035961,0.376027066,0.945321993
Aspergillus_fumigatus,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.018469657,0.009402283,0.518518519
Blastobotrys_adeninivorans,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.050758075,0.026110546,0.905882353
Blastobotrys_proliferans,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.370098731,0.48199853,0.3003663
Candida_boleticola,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.353861686,0.463011889,0.286356209
Candida_caryicola,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.253773585,0.442798354,0.17785124
Candida_catenulata,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.389978871,0.473607038,0.331452027
Candida_dubliniensis,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.003294893,0.001651982,0.6
Candida_glabrata,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.473093302,0.309994926,0.998366013
Candida_metapsilosis,Mock3,Qmin17,mycoAI_cnn,simNCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.615753425,0.475409836,0.873663751
Candida_tropicalis,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.366602687,0.227380952,0.945544554
Candida_zeylanoides,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.031512605,0.016198704,0.576923077
Cryptococcus_gattii_VGI,Mock3,Qmin17,mycoAI_cnn,simNCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.097908745,0.058991982,0.287709497
Diplodia_seriata,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.634942529,0.481856246,0.930592992
Fusarium_pseudograminearum,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.082946251,0.056357078,0.157035176
Kluyveromyces_lactis,Mock3,Qmin17,mycoAI_cnn,simNCBI,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.013328107,0.006778309,0.395348837
Kodamaea_ohmeri,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.627547262,0.458886894,0.992236025
Leptosphaeria_maculans,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.337688957,0.449216087,0.270525452
Penicillium_chrysogenum,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.503937008,0.46397188,0.551436031
Pichia_kudriavzevii,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.244533996,0.526393503,0.159258432
Pichia_membranifaciens,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.397524845,0.389705882,0.405663988
Quambalaria_cyanescens,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.005008347,0.002533784,0.214285714
Rhodotorula_mucilaginosa,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.435731789,0.505949302,0.382629108
Scedosporium_aurantiacum,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.051743532,0.035881435,0.092741935
Trichomonascus_ciferrii,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.402523659,0.328527291,0.519543974
Trichosporon_asahii,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.615020298,0.448445979,0.978471475
Tuber_brumale,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.49382716,0.395195661,0.658064516
Wickerhamomyces_anomalus,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.155514767,0.72698908,0.087070254
Yamadazyma_mexicana,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.564774381,0.511535926,0.630381803
Yamadazyma_scolyti,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.655067421,0.491193738,0.983028721
Yarrowia_lipolytica,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.172238566,0.484939759,0.104715447
Zymoseptoria_tritici,Mock3,Qmin17,mycoAI_cnn,simNCBI,0.250705628,0.488673139,0.168602054
